kanji,kosakata,grammar,reading,status
39,45,55,52,Siap
18,26,42,30,Belum Siap
81,100,81,78,Siap
86,84,89,82,Siap
43,42,61,50,Siap
100,100,88,94,Siap
64,90,81,74,Siap
45,66,62,77,Siap
17,0,36,31,Belum Siap
94,100,90,65,Siap
20,42,24,41,Belum Siap
41,21,40,38,Siap
94,76,81,77,Siap
100,100,73,100,Siap
80,91,79,86,Siap
77,78,67,69,Siap
71,78,82,59,Siap
62,79,91,70,Siap
80,78,82,60,Siap
67,74,63,64,Siap
54,65,72,56,Siap
56,61,65,46,Siap
48,42,48,64,Siap
57,55,100,47,Siap
27,33,28,46,Siap
63,60,64,49,Siap
38,32,54,37,Siap
39,35,41,47,Siap
43,70,68,37,Siap
85,89,88,83,Siap
82,79,75,60,Siap
26,25,42,41,Siap
37,47,47,55,Siap
63,99,81,66,Siap
46,47,43,36,Siap
58,64,53,75,Siap
75,68,67,47,Siap
30,37,58,23,Siap
61,61,37,99,Siap
31,33,48,22,Siap
33,61,74,69,Siap
54,78,67,67,Siap
26,31,33,47,Siap
73,60,74,57,Siap
48,49,51,49,Siap
81,72,46,61,Siap
67,69,66,51,Siap
87,86,71,88,Siap
67,73,62,52,Siap
42,44,57,61,Siap
58,55,63,73,Siap
70,66,50,54,Siap
69,56,74,65,Siap
60,63,65,49,Siap
48,43,36,50,Siap
43,37,35,47,Siap
16,43,55,25,Siap
100,84,91,79,Siap
41,28,22,32,Siap
45,36,58,64,Siap
49,46,53,39,Siap
81,79,69,53,Siap
57,65,41,54,Siap
91,90,69,68,Siap
53,55,58,57,Siap
64,67,76,63,Siap
47,37,64,19,Siap
100,100,100,93,Siap
30,39,50,44,Siap
64,70,92,56,Siap
72,69,61,92,Siap
58,71,47,100,Siap
53,64,75,60,Siap
29,61,59,42,Siap
77,54,73,44,Siap
66,57,60,72,Siap
77,72,68,64,Siap
100,100,100,71,Siap
50,54,73,40,Siap
29,26,34,51,Siap
59,55,67,72,Siap
100,100,98,100,Siap
43,45,34,46,Siap
93,89,68,84,Siap
85,98,66,100,Siap
49,52,73,54,Siap
72,78,76,65,Siap
93,92,85,70,Siap
51,49,61,72,Siap
62,51,55,59,Siap
46,50,51,49,Siap
41,37,51,51,Siap
54,43,68,44,Siap
35,32,45,52,Siap
61,56,40,73,Siap
30,56,47,42,Siap
67,62,71,90,Siap
27,30,47,32,Siap
74,70,71,67,Siap
76,73,86,62,Siap
8,38,18,27,Belum Siap
60,73,71,59,Siap
82,75,65,56,Siap
39,34,49,72,Siap
77,93,90,73,Siap
68,71,61,61,Siap
43,44,49,76,Siap
52,52,85,42,Siap
67,64,61,81,Siap
40,63,47,67,Siap
70,67,58,55,Siap
33,34,60,33,Siap
65,58,75,66,Siap
39,35,32,46,Siap
59,67,69,59,Siap
32,51,63,29,Siap
51,53,36,44,Siap
92,90,74,68,Siap
81,91,56,100,Siap
69,70,43,82,Siap
33,38,64,43,Siap
58,51,69,52,Siap
88,82,100,54,Siap
67,63,52,66,Siap
100,100,75,67,Siap
67,70,78,50,Siap
66,62,55,48,Siap
47,54,57,37,Siap
75,65,48,76,Siap
54,60,57,64,Siap
72,65,56,78,Siap
77,72,72,79,Siap
40,50,44,50,Siap
28,33,43,46,Siap
20,20,40,53,Belum Siap
61,68,69,84,Siap
33,36,40,49,Siap
28,20,28,68,Siap
72,61,61,48,Siap
100,100,100,66,Siap
59,73,58,60,Siap
87,79,88,58,Siap
51,62,65,84,Siap
50,61,48,71,Siap
73,74,87,74,Siap
51,48,53,69,Siap
63,80,64,66,Siap
63,64,64,55,Siap
47,45,57,59,Siap
80,83,77,70,Siap
52,66,57,48,Siap
31,41,63,67,Siap
64,64,35,64,Siap
25,48,59,37,Siap
59,70,69,48,Siap
48,59,57,61,Siap
78,81,84,83,Siap
56,77,77,70,Siap
58,50,65,65,Siap
63,86,55,58,Siap
82,82,86,75,Siap
63,67,77,61,Siap
59,72,54,57,Siap
28,36,46,45,Siap
44,44,41,41,Siap
56,58,64,65,Siap
47,47,48,41,Siap
51,53,78,30,Siap
63,62,88,43,Siap
74,71,80,65,Siap
59,55,57,63,Siap
79,70,70,43,Siap
64,57,69,67,Siap
25,19,34,39,Belum Siap
24,52,19,57,Siap
61,49,95,43,Siap
31,21,57,31,Siap
69,66,64,96,Siap
92,100,93,55,Siap
86,82,71,67,Siap
46,72,54,53,Siap
96,77,83,84,Siap
46,64,59,61,Siap
47,45,46,65,Siap
42,59,61,39,Siap
49,68,58,55,Siap
72,54,65,54,Siap
66,73,65,76,Siap
62,61,63,47,Siap
56,68,64,43,Siap
65,81,82,83,Siap
83,83,78,91,Siap
79,75,71,72,Siap
27,22,38,31,Belum Siap
7,7,28,21,Belum Siap
86,79,72,70,Siap
40,44,40,50,Siap
45,61,67,55,Siap
28,36,29,35,Belum Siap
13,27,22,55,Belum Siap
75,73,100,53,Siap
76,84,94,73,Siap
52,51,60,32,Siap
16,11,42,48,Belum Siap
49,51,48,46,Siap
71,71,59,80,Siap
26,30,43,52,Siap
65,57,72,44,Siap
62,55,46,62,Siap
68,68,65,85,Siap
38,71,61,54,Siap
41,48,39,70,Siap
82,83,71,76,Siap
60,55,66,74,Siap
56,61,64,61,Siap
51,39,54,49,Siap
43,55,57,77,Siap
49,54,38,59,Siap
44,79,61,55,Siap
83,94,74,82,Siap
17,45,30,51,Siap
26,37,27,45,Siap
82,88,95,82,Siap
45,59,57,55,Siap
46,39,46,42,Siap
86,78,51,70,Siap
41,68,62,54,Siap
96,92,84,68,Siap
76,72,64,49,Siap
50,40,42,40,Siap
94,100,71,95,Siap
39,55,39,74,Siap
73,75,56,68,Siap
65,69,71,51,Siap
91,88,98,75,Siap
77,100,97,68,Siap
64,57,62,56,Siap
25,60,42,32,Siap
60,75,41,100,Siap
48,53,45,69,Siap
100,86,75,82,Siap
36,72,57,72,Siap
47,46,71,66,Siap
59,64,89,49,Siap
33,20,45,53,Siap
35,28,55,57,Siap
83,97,85,75,Siap
45,50,66,66,Siap
38,39,39,59,Siap
48,86,63,74,Siap
79,84,83,78,Siap
67,80,69,67,Siap
82,76,72,70,Siap
48,45,31,62,Siap
26,32,54,35,Siap
99,83,95,80,Siap
51,61,57,50,Siap
64,52,63,30,Siap
82,92,77,80,Siap
58,71,48,46,Siap
71,78,65,56,Siap
100,97,100,83,Siap
47,40,39,63,Siap
64,83,80,83,Siap
60,61,43,36,Siap
62,74,63,66,Siap
88,100,86,72,Siap
75,56,63,76,Siap
54,78,92,83,Siap
85,62,70,55,Siap
42,66,49,56,Siap
41,49,50,61,Siap
32,38,37,45,Siap
12,26,18,61,Belum Siap
81,100,100,68,Siap
34,33,77,39,Siap
55,58,53,44,Siap
57,53,73,59,Siap
64,71,59,26,Siap
78,75,78,65,Siap
64,72,77,83,Siap
47,39,47,37,Siap
46,45,48,38,Siap
58,73,46,76,Siap
53,52,62,72,Siap
99,94,94,59,Siap
63,87,50,85,Siap
74,71,66,72,Siap
73,69,62,79,Siap
79,82,81,62,Siap
60,63,59,79,Siap
36,45,55,43,Siap
59,77,61,60,Siap
50,50,38,59,Siap
47,58,47,50,Siap
76,70,64,47,Siap
90,86,82,73,Siap
50,58,56,56,Siap
62,58,68,53,Siap
78,100,62,100,Siap
53,68,60,91,Siap
100,100,88,74,Siap
73,80,59,68,Siap
28,15,48,37,Siap
86,69,63,94,Siap
72,69,61,69,Siap
81,82,88,84,Siap
71,72,76,80,Siap
60,56,74,60,Siap
25,43,47,45,Siap
52,50,77,68,Siap
33,33,68,60,Siap
68,47,57,44,Siap
70,75,89,66,Siap
91,83,83,72,Siap
63,75,59,87,Siap
34,37,58,54,Siap
69,62,52,90,Siap
76,100,93,63,Siap
31,57,74,50,Siap
50,56,59,53,Siap
59,59,80,57,Siap
41,33,42,63,Siap
81,79,75,65,Siap
64,51,50,74,Siap
69,66,83,43,Siap
34,45,49,60,Siap
43,60,61,50,Siap
68,81,82,45,Siap
54,49,48,44,Siap
92,100,98,78,Siap
30,65,69,79,Siap
60,68,60,56,Siap
78,72,72,67,Siap
17,29,35,51,Siap
18,23,32,35,Belum Siap
25,24,26,38,Belum Siap
92,75,85,73,Siap
30,58,31,49,Siap
100,100,88,64,Siap
50,49,51,46,Siap
71,71,75,69,Siap
98,91,76,83,Siap
99,95,92,96,Siap
98,100,88,95,Siap
80,85,86,61,Siap
66,99,78,61,Siap
69,65,100,50,Siap
78,81,65,65,Siap
51,55,42,47,Siap
47,45,73,41,Siap
67,55,55,49,Siap
67,56,57,67,Siap
38,65,56,44,Siap
80,75,82,54,Siap
76,82,81,75,Siap
68,67,54,69,Siap
95,85,85,65,Siap
43,30,61,59,Siap
56,55,41,67,Siap
41,43,31,86,Siap
14,27,40,50,Siap
58,51,75,79,Siap
66,63,49,77,Siap
88,98,69,100,Siap
77,72,60,83,Siap
44,39,41,62,Siap
95,92,61,83,Siap
92,81,69,66,Siap
54,69,75,70,Siap
48,64,52,43,Siap
35,40,55,44,Siap
47,44,53,70,Siap
83,83,61,78,Siap
99,100,98,50,Siap
93,90,60,76,Siap
53,59,47,81,Siap
31,42,30,88,Siap
55,56,72,54,Siap
9,31,29,24,Belum Siap
62,67,66,38,Siap
47,47,86,53,Siap
47,59,51,86,Siap
36,17,33,67,Siap
79,76,69,46,Siap
50,54,40,51,Siap
26,44,50,27,Siap
10,0,41,32,Belum Siap
55,60,60,43,Siap
100,92,86,71,Siap
94,87,75,66,Siap
56,48,62,61,Siap
49,52,46,47,Siap
77,69,38,60,Siap
41,48,40,56,Siap
57,70,61,82,Siap
84,79,59,100,Siap
78,74,75,77,Siap
65,56,52,57,Siap
55,49,55,90,Siap
49,41,44,65,Siap
35,45,18,88,Siap
58,53,56,33,Siap
59,82,66,78,Siap
80,81,73,73,Siap
31,49,57,41,Siap
90,80,78,66,Siap
47,54,44,64,Siap
60,65,40,29,Siap
30,67,40,51,Siap
4,2,30,27,Belum Siap
87,75,74,82,Siap
81,80,99,56,Siap
54,53,43,39,Siap
62,55,52,73,Siap
68,61,58,39,Siap
32,23,34,46,Siap
45,39,63,44,Siap
71,89,83,91,Siap
33,40,40,47,Siap
44,69,65,37,Siap
32,34,26,67,Siap
65,74,49,51,Siap
61,59,77,71,Siap
24,18,14,51,Belum Siap
86,85,47,100,Siap
52,44,67,54,Siap
39,42,42,74,Siap
63,60,51,62,Siap
71,93,82,64,Siap
37,42,53,62,Siap
64,75,42,74,Siap
71,69,60,63,Siap
80,82,78,60,Siap
59,65,73,86,Siap
47,52,57,44,Siap
41,44,62,46,Siap
37,68,37,61,Siap
41,40,41,67,Siap
0,14,21,24,Belum Siap
82,63,48,59,Siap
85,78,67,52,Siap
12,19,37,24,Belum Siap
45,48,27,80,Siap
62,70,53,66,Siap
100,100,100,81,Siap
56,66,64,81,Siap
44,37,39,55,Siap
45,58,56,85,Siap
90,82,89,87,Siap
40,46,45,61,Siap
39,52,55,56,Siap
47,52,46,46,Siap
34,44,27,54,Siap
57,67,67,87,Siap
78,100,93,68,Siap
58,67,62,60,Siap
50,66,65,48,Siap
43,54,52,49,Siap
44,38,37,39,Siap
80,75,89,55,Siap
52,61,55,56,Siap
54,54,53,58,Siap
90,100,86,87,Siap
45,73,71,35,Siap
50,51,64,39,Siap
52,54,55,55,Siap
88,79,72,94,Siap
60,83,57,61,Siap
39,38,63,48,Siap
77,83,72,64,Siap
40,44,62,68,Siap
86,100,100,56,Siap
70,79,81,76,Siap
46,57,93,55,Siap
81,79,86,81,Siap
69,59,65,86,Siap
87,80,86,61,Siap
78,71,74,73,Siap
41,38,33,82,Siap
61,40,42,54,Siap
82,89,95,78,Siap
59,55,62,54,Siap
53,43,54,44,Siap
40,33,51,50,Siap
66,66,60,48,Siap
99,100,100,84,Siap
42,42,47,56,Siap
62,67,77,58,Siap
88,79,72,95,Siap
67,59,58,53,Siap
51,77,55,43,Siap
41,46,37,72,Siap
72,70,42,98,Siap
63,70,59,65,Siap
79,83,78,65,Siap
84,90,83,75,Siap
100,100,81,93,Siap
80,66,73,63,Siap
50,70,86,41,Siap
65,64,80,81,Siap
63,51,42,67,Siap
54,56,66,50,Siap
49,47,69,55,Siap
72,61,63,64,Siap
92,90,82,81,Siap
31,45,42,64,Siap
80,82,64,79,Siap
81,80,100,53,Siap
54,57,78,28,Siap
26,25,27,21,Belum Siap
44,48,61,47,Siap
69,90,74,73,Siap
55,52,40,78,Siap
33,52,54,49,Siap
27,62,51,65,Siap
76,76,54,77,Siap
60,67,59,94,Siap
45,58,63,92,Siap
52,50,54,100,Siap
44,51,54,72,Siap
54,36,24,49,Siap
62,100,90,93,Siap
48,52,60,35,Siap
84,87,74,88,Siap
88,83,68,44,Siap
73,90,65,66,Siap
45,59,45,70,Siap
62,56,73,68,Siap
57,54,71,30,Siap
53,44,46,53,Siap
66,58,62,67,Siap
28,43,53,50,Siap
86,86,91,54,Siap
57,49,58,65,Siap
36,77,57,75,Siap
63,61,51,60,Siap
62,41,53,75,Siap
68,77,75,63,Siap
49,70,53,78,Siap
86,92,67,84,Siap
30,19,32,62,Siap
59,67,51,53,Siap
92,86,85,70,Siap
36,50,47,71,Siap
32,61,65,51,Siap
72,64,68,65,Siap
35,78,68,58,Siap
70,63,57,79,Siap
73,71,67,90,Siap
46,78,70,67,Siap
91,92,93,94,Siap
71,79,65,57,Siap
59,51,57,54,Siap
68,79,74,74,Siap
100,100,98,69,Siap
59,61,35,66,Siap
39,36,57,44,Siap
94,96,58,52,Siap
57,59,61,37,Siap
11,30,53,34,Siap
78,75,71,73,Siap
52,46,54,38,Siap
48,58,55,61,Siap
59,76,71,65,Siap
59,54,52,70,Siap
69,68,63,55,Siap
61,55,52,58,Siap
68,67,55,63,Siap
33,59,55,69,Siap
72,76,66,51,Siap
64,74,69,67,Siap
49,48,39,35,Siap
77,75,94,91,Siap
52,52,52,41,Siap
84,80,67,70,Siap
64,73,67,63,Siap
99,88,83,71,Siap
49,57,37,96,Siap
67,63,55,70,Siap
50,72,57,69,Siap
52,56,66,66,Siap
71,80,82,69,Siap
26,21,15,69,Siap
29,56,45,64,Siap
50,41,53,74,Siap
52,89,59,58,Siap
95,84,89,63,Siap
57,62,67,42,Siap
55,59,48,43,Siap
60,71,58,41,Siap
82,81,78,74,Siap
27,49,52,60,Siap
68,60,53,62,Siap
82,76,85,53,Siap
51,63,46,59,Siap
65,71,75,71,Siap
70,87,68,75,Siap
9,4,33,11,Belum Siap
82,71,78,48,Siap
41,36,40,48,Siap
21,27,35,33,Belum Siap
66,80,69,64,Siap
94,83,76,93,Siap
57,56,42,75,Siap
89,81,68,71,Siap
94,100,83,81,Siap
87,87,71,58,Siap
93,93,85,99,Siap
79,75,64,58,Siap
33,64,71,66,Siap
28,19,53,30,Siap
54,50,53,58,Siap
47,49,57,53,Siap
100,100,88,100,Siap
35,59,48,55,Siap
62,59,57,76,Siap
64,70,68,69,Siap
49,71,42,82,Siap
83,100,89,55,Siap
51,42,52,59,Siap
66,64,72,29,Siap
36,62,55,51,Siap
29,30,42,59,Siap
27,46,47,71,Siap
58,56,74,68,Siap
49,52,100,41,Siap
41,50,46,59,Siap
31,37,50,76,Siap
54,52,51,60,Siap
18,24,33,56,Siap
72,73,66,62,Siap
54,65,68,73,Siap
32,23,28,56,Siap
49,50,71,49,Siap
41,50,58,61,Siap
76,72,71,73,Siap
90,89,75,82,Siap
13,27,42,40,Belum Siap
71,70,32,75,Siap
66,54,62,47,Siap
73,66,70,66,Siap
72,57,54,60,Siap
41,33,53,66,Siap
42,50,61,45,Siap
39,41,48,48,Siap
91,86,63,64,Siap
46,73,80,61,Siap
98,95,84,83,Siap
58,58,68,44,Siap
42,39,61,68,Siap
27,35,33,67,Siap
24,19,44,31,Belum Siap
24,21,16,40,Belum Siap
40,83,61,80,Siap
71,73,36,70,Siap
34,18,20,32,Belum Siap
83,83,67,59,Siap
45,45,46,62,Siap
55,60,62,70,Siap
90,93,82,80,Siap
87,81,73,65,Siap
58,57,57,67,Siap
46,41,50,47,Siap
22,14,20,28,Belum Siap
48,48,42,71,Siap
56,55,56,63,Siap
44,51,34,61,Siap
54,60,47,60,Siap
47,67,71,61,Siap
59,52,64,53,Siap
54,47,42,56,Siap
56,71,60,50,Siap
73,77,86,74,Siap
48,35,46,49,Siap
88,82,100,45,Siap
53,51,63,47,Siap
61,61,57,52,Siap
70,87,78,47,Siap
52,79,64,60,Siap
81,69,64,100,Siap
56,61,64,61,Siap
26,55,67,78,Siap
67,62,65,63,Siap
36,34,35,43,Siap
64,64,71,41,Siap
57,70,67,44,Siap
56,62,42,69,Siap
61,60,62,67,Siap
16,10,12,55,Belum Siap
53,42,33,30,Siap
58,60,72,60,Siap
49,71,62,50,Siap
32,53,59,51,Siap
91,85,80,71,Siap
34,42,44,52,Siap
60,93,100,55,Siap
50,72,62,35,Siap
44,54,36,72,Siap
90,100,72,91,Siap
24,46,28,44,Siap
81,78,80,75,Siap
76,79,82,69,Siap
32,54,55,44,Siap
86,81,80,60,Siap
61,65,57,55,Siap
63,58,72,39,Siap
65,61,51,59,Siap
59,61,64,75,Siap
70,82,58,50,Siap
79,67,78,63,Siap
34,18,46,17,Belum Siap
85,87,71,73,Siap
19,40,48,48,Siap
80,88,58,74,Siap
69,81,86,64,Siap
40,23,59,23,Siap
37,58,57,40,Siap
47,40,42,64,Siap
54,53,60,68,Siap
56,48,49,55,Siap
70,76,100,60,Siap
84,80,72,60,Siap
78,99,92,89,Siap
47,57,66,39,Siap
53,59,97,52,Siap
28,26,56,27,Siap
40,39,52,49,Siap
65,85,76,84,Siap
90,100,73,64,Siap
33,40,31,56,Siap
40,54,54,41,Siap
46,79,74,48,Siap
70,68,58,62,Siap
31,53,70,63,Siap
66,74,48,88,Siap
49,53,55,62,Siap
55,64,62,73,Siap
52,79,66,56,Siap
72,58,39,41,Siap
45,47,47,51,Siap
56,53,60,74,Siap
55,48,68,41,Siap
44,52,61,68,Siap
52,49,63,54,Siap
93,88,79,97,Siap
60,80,58,92,Siap
60,53,71,69,Siap
61,80,66,40,Siap
45,54,62,16,Siap
69,92,67,72,Siap
61,63,72,74,Siap
41,63,65,90,Siap
84,68,83,44,Siap
31,35,40,26,Siap
26,45,48,59,Siap
31,38,61,70,Siap
62,70,44,53,Siap
96,95,91,87,Siap
96,100,95,100,Siap
71,79,65,64,Siap
60,81,80,57,Siap
17,19,42,48,Belum Siap
50,55,58,51,Siap
48,42,70,68,Siap
52,45,52,48,Siap
60,61,68,46,Siap
37,62,51,37,Siap
24,22,58,23,Belum Siap
76,78,70,55,Siap
39,33,45,53,Siap
61,67,63,42,Siap
98,100,87,92,Siap
42,35,41,40,Siap
24,12,28,56,Belum Siap
56,49,53,73,Siap
64,97,81,77,Siap
94,100,88,61,Siap
15,44,63,31,Siap
82,83,82,54,Siap
48,57,52,46,Siap
63,62,54,98,Siap
100,100,90,84,Siap
31,35,18,37,Belum Siap
69,59,57,53,Siap
48,83,34,79,Siap
77,84,72,77,Siap
71,59,76,41,Siap
72,68,55,64,Siap
41,64,33,61,Siap
70,62,78,41,Siap
55,52,50,39,Siap
84,67,54,78,Siap
52,41,62,73,Siap
71,72,70,78,Siap
39,68,67,52,Siap
77,82,84,88,Siap
51,53,41,55,Siap
32,23,21,38,Belum Siap
69,91,89,73,Siap
39,41,39,61,Siap
22,53,44,46,Siap
43,49,39,49,Siap
84,80,75,58,Siap
25,21,26,42,Belum Siap
100,100,86,100,Siap
76,75,64,82,Siap
70,58,66,45,Siap
59,57,51,54,Siap
50,68,57,77,Siap
63,70,45,67,Siap
66,67,88,66,Siap
66,77,77,65,Siap
62,66,56,67,Siap
56,55,48,61,Siap
66,54,57,51,Siap
58,52,57,68,Siap
66,80,63,56,Siap
73,63,42,81,Siap
0,0,13,19,Belum Siap
67,78,53,73,Siap
59,65,64,59,Siap
55,69,61,54,Siap
26,61,44,72,Siap
83,80,70,80,Siap
70,76,82,87,Siap
46,42,56,73,Siap
81,64,61,75,Siap
15,53,69,40,Siap
30,32,28,19,Belum Siap
32,44,55,44,Siap
75,84,70,85,Siap
82,90,58,76,Siap
64,82,85,84,Siap
62,91,71,60,Siap
57,85,59,63,Siap
62,58,55,52,Siap
78,73,67,67,Siap
54,82,68,77,Siap
66,77,58,87,Siap
76,97,62,94,Siap
68,68,91,87,Siap
69,65,51,71,Siap
74,88,91,66,Siap
59,48,51,62,Siap
47,34,55,59,Siap
56,55,62,59,Siap
39,47,56,41,Siap
53,38,57,47,Siap
45,56,59,56,Siap
42,51,42,49,Siap
35,59,42,57,Siap
22,27,35,40,Siap
65,60,37,77,Siap
63,55,40,57,Siap
31,62,46,46,Siap
70,75,41,77,Siap
76,71,75,56,Siap
24,23,24,42,Belum Siap
49,54,40,59,Siap
40,39,26,65,Siap
46,46,63,33,Siap
76,73,56,87,Siap
52,56,53,61,Siap
58,56,38,43,Siap
15,7,35,21,Belum Siap
76,63,86,43,Siap
18,46,39,49,Siap
57,56,53,81,Siap
68,71,63,54,Siap
90,77,73,80,Siap
40,37,40,45,Siap
5,0,25,30,Belum Siap
66,61,59,66,Siap
89,89,87,52,Siap
92,100,79,88,Siap
55,56,59,60,Siap
55,49,45,49,Siap
78,65,60,99,Siap
33,50,53,41,Siap
68,71,74,67,Siap
54,84,49,78,Siap
89,90,72,79,Siap
100,100,100,74,Siap
66,69,73,51,Siap
35,50,48,59,Siap
69,62,81,56,Siap
18,21,37,20,Belum Siap
48,44,62,55,Siap
51,56,44,49,Siap
48,51,41,71,Siap
67,62,68,51,Siap
53,35,38,37,Siap
83,91,75,85,Siap
63,56,70,70,Siap
43,79,56,59,Siap
59,54,46,61,Siap
60,55,72,96,Siap
82,84,59,68,Siap
49,44,49,36,Siap
53,54,43,57,Siap
49,52,46,68,Siap
32,37,48,53,Siap
45,33,46,52,Siap
42,47,48,88,Siap
87,69,49,66,Siap
65,63,68,75,Siap
65,66,55,78,Siap
73,73,53,52,Siap
49,62,76,72,Siap
64,62,71,90,Siap
59,63,60,65,Siap
69,73,76,74,Siap
32,63,42,71,Siap
13,9,42,15,Belum Siap
55,44,56,56,Siap
74,96,73,69,Siap
87,77,67,53,Siap
70,78,60,67,Siap
89,81,56,95,Siap
63,70,87,39,Siap
54,57,66,64,Siap
27,62,34,70,Siap
56,54,45,53,Siap
72,70,64,72,Siap
86,87,60,76,Siap
53,76,59,54,Siap
55,49,54,85,Siap
67,58,83,66,Siap
60,84,57,84,Siap
26,36,48,44,Siap
13,13,48,25,Belum Siap
44,47,41,51,Siap
44,22,31,61,Siap
54,45,54,53,Siap
60,50,48,57,Siap
52,62,47,78,Siap
76,87,75,58,Siap
70,64,57,67,Siap
39,71,56,62,Siap
54,81,44,63,Siap
35,46,44,37,Siap
84,88,75,62,Siap
59,68,50,54,Siap
81,77,72,72,Siap
34,38,58,59,Siap
33,38,38,23,Siap
61,80,72,71,Siap
57,62,87,70,Siap
36,38,72,58,Siap
41,45,35,33,Siap
89,77,63,81,Siap
19,40,38,47,Siap
85,83,84,85,Siap
41,44,63,40,Siap
84,63,95,39,Siap
54,47,58,40,Siap
64,90,62,62,Siap
52,56,51,50,Siap
61,58,42,53,Siap
48,74,60,80,Siap
42,36,34,29,Siap
72,70,53,57,Siap
54,47,43,49,Siap
56,46,60,58,Siap
43,41,45,73,Siap
4,9,48,35,Belum Siap
51,50,67,71,Siap
87,100,100,89,Siap
75,79,73,47,Siap
61,63,60,39,Siap
52,51,57,71,Siap
65,60,58,73,Siap
67,74,45,73,Siap
35,37,54,38,Siap
87,91,79,67,Siap
66,78,57,62,Siap
71,71,75,77,Siap
73,83,60,67,Siap
56,62,59,86,Siap
67,79,79,60,Siap
58,73,70,81,Siap
50,56,54,67,Siap
44,54,48,35,Siap
61,64,88,66,Siap
91,96,88,91,Siap
29,36,55,62,Siap
36,23,16,62,Siap
56,57,51,58,Siap
54,56,63,76,Siap
46,62,58,51,Siap
74,71,62,51,Siap
53,56,57,70,Siap
94,82,68,56,Siap
34,36,26,43,Siap
48,39,50,66,Siap
56,59,51,74,Siap
20,22,41,64,Siap
43,44,55,70,Siap
91,85,90,63,Siap
67,57,64,52,Siap
47,83,57,65,Siap
38,36,22,51,Siap
41,48,63,41,Siap
53,40,44,78,Siap
57,61,51,34,Siap
81,86,76,73,Siap
72,70,67,67,Siap
35,44,54,27,Siap
69,72,63,78,Siap
71,76,65,56,Siap
83,81,86,72,Siap
100,85,88,79,Siap
43,45,38,32,Siap
39,35,37,39,Siap
34,46,28,92,Siap
54,55,56,56,Siap
69,62,54,32,Siap
94,72,74,66,Siap
60,50,57,58,Siap
41,54,20,85,Siap
59,62,48,37,Siap
23,43,19,51,Siap
99,99,85,70,Siap
15,19,48,46,Siap
58,67,30,91,Siap
91,100,75,85,Siap
62,57,58,76,Siap
56,48,46,84,Siap
54,51,44,42,Siap
55,53,62,53,Siap
61,94,74,82,Siap
18,16,14,36,Belum Siap
100,95,60,42,Siap
33,28,62,43,Siap
52,43,67,72,Siap
42,57,49,38,Siap
60,74,69,68,Siap
30,21,32,21,Belum Siap
59,80,65,99,Siap
100,100,79,83,Siap
37,29,35,39,Siap
68,60,91,44,Siap
49,44,51,55,Siap
64,77,73,76,Siap
61,60,72,50,Siap
42,41,47,59,Siap
69,64,60,53,Siap
98,94,90,92,Siap
57,71,58,76,Siap
66,77,73,92,Siap
37,34,38,73,Siap
49,35,38,42,Siap
74,66,92,42,Siap
82,100,81,100,Siap
61,69,78,61,Siap
61,50,46,66,Siap
53,63,52,52,Siap
26,40,54,40,Siap
72,70,67,76,Siap
64,75,66,45,Siap
58,43,48,64,Siap
57,53,53,61,Siap
53,80,73,56,Siap
49,66,52,55,Siap
58,60,66,61,Siap
100,100,94,83,Siap
55,49,47,65,Siap
56,41,46,46,Siap
27,58,32,100,Siap
80,88,57,64,Siap
59,64,52,56,Siap
43,53,66,76,Siap
94,87,78,51,Siap
80,90,72,97,Siap
47,33,70,55,Siap
28,27,24,34,Belum Siap
75,76,64,56,Siap
48,42,62,37,Siap
79,73,77,63,Siap
15,18,31,43,Belum Siap
67,86,80,76,Siap
34,35,46,51,Siap
71,71,58,61,Siap
74,60,53,68,Siap
36,31,66,70,Siap
57,50,58,94,Siap
71,67,65,62,Siap
55,58,66,67,Siap
72,72,70,72,Siap
100,89,70,99,Siap
34,23,34,40,Siap
100,95,86,64,Siap
79,53,53,74,Siap
43,52,43,55,Siap
29,40,45,33,Siap
40,62,58,66,Siap
76,73,69,100,Siap
63,58,62,50,Siap
82,81,71,64,Siap
45,18,34,45,Siap
64,57,60,68,Siap
24,34,55,46,Siap
63,67,60,77,Siap
69,80,55,71,Siap
58,59,58,67,Siap
0,0,15,25,Belum Siap
68,57,61,40,Siap
57,71,66,60,Siap
67,61,75,47,Siap
91,77,71,77,Siap
35,39,49,25,Siap
64,67,76,61,Siap
84,83,84,68,Siap
20,20,18,57,Siap
65,68,39,75,Siap
44,37,43,55,Siap
53,59,66,74,Siap
48,66,71,50,Siap
51,49,43,59,Siap
27,51,71,59,Siap
53,59,49,60,Siap
39,37,54,43,Siap
44,39,46,64,Siap
72,69,70,89,Siap
38,44,36,49,Siap
62,69,61,62,Siap
62,67,56,100,Siap
37,30,58,37,Siap
43,49,38,83,Siap
87,78,82,40,Siap
44,35,49,47,Siap
49,44,46,51,Siap
72,72,86,63,Siap
77,71,57,66,Siap
46,56,55,51,Siap
30,54,63,54,Siap
84,100,81,69,Siap
92,96,82,76,Siap
71,74,81,60,Siap
68,52,55,78,Siap
53,42,57,38,Siap
49,42,59,41,Siap
78,57,52,50,Siap
50,77,63,54,Siap
84,89,70,56,Siap
68,69,69,64,Siap
33,35,21,47,Siap
82,71,77,57,Siap
39,44,47,45,Siap
60,57,53,44,Siap
67,70,67,50,Siap
